"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Ricky Seals-Jones","NYG","TE38","0.0","0.0","0.0","27.9","268.8","2.1","0.0","67.3"
"Foster Moreau","LV","TE39","0.0","0.0","0.0","24.4","273.0","2.3","0.0","65.5"
"Matt Breida","NYG","RB68","76.0","317.2","1.5","13.0","100.0","0.7","1.5","65.2"
"Romeo Doubs","GB","WR108","0.0","0.0","0.0","23.7","286.8","2.2","0.1","65.2"
"Freddie Swain","SEA","WR109","0.5","3.0","0.0","24.7","295.0","1.7","0.1","64.9"
"Geoff Swaim","TEN","TE40","0.0","0.0","0.0","26.4","233.9","2.3","0.0","63.5"
"D'Onta Foreman","CAR","RB69","77.0","374.3","2.3","6.4","59.1","0.2","0.9","63.0"
"Demarcus Robinson","LV","WR110","0.0","0.0","0.0","23.6","273.9","1.9","0.1","62.5"
"Zamir White","LV","RB70","64.9","275.0","2.4","10.0","85.0","0.4","0.7","61.3"
"Kyle Juszczyk","SF","RB71","12.2","39.2","0.6","24.2","198.5","1.2","0.1","59.0"
"Boston Scott","PHI","RB72","63.8","280.7","2.8","7.5","57.3","0.2","0.2","59.0"
"Keelan Cole Sr.","LV","WR111","0.2","0.2","0.0","19.9","282.8","1.7","0.0","58.6"
"Pharaoh Brown","HOU","TE41","0.0","0.0","0.0","26.3","249.4","1.3","0.4","58.6"
"Anthony Firkser","ATL","TE42","0.0","0.0","0.0","25.2","248.9","1.5","0.4","58.2"
"Chuba Hubbard","CAR","RB73","59.4","227.9","1.6","13.8","95.7","0.6","0.5","58.0"
"James O'Shaughnessy","CHI","TE43","0.0","0.0","0.0","23.7","258.8","1.3","0.0","57.1"
"O.J. Howard","BUF","TE44","0.0","0.0","0.0","21.2","239.4","2.0","0.1","56.9"
"Jelani Woods","IND","TE45","0.0","0.0","0.0","21.6","229.0","2.0","0.5","55.6"
"Noah Brown","DAL","WR112","0.0","0.3","0.0","21.5","246.7","1.5","0.0","55.3"
"Marquez Callaway","NO","WR113","1.8","10.6","0.1","17.5","258.5","1.7","0.0","55.2"
"Donald Parham Jr.","LAC","TE46","0.0","0.0","0.0","20.5","214.3","2.1","0.0","54.5"
"James Proche II","BAL","WR114","0.0","0.0","0.0","20.4","246.1","1.4","0.1","53.2"
"Kylen Granson","IND","TE47","0.0","0.0","0.0","20.5","232.1","1.4","0.2","51.9"
"Hassan Haskins","TEN","RB74","63.6","274.2","1.6","8.0","63.7","0.4","1.1","51.4"
"Phillip Dorsett II","HOU","WR115","0.5","3.3","0.0","19.4","239.6","1.1","0.1","50.3"
